Food Group Code ,NDB,Yield Description,Preparation Method1, Cooking Yield %,n,SD,Yield Minimum %,Yield Maximum %,Moisture Gain/ Loss %,Fat   Gain/ Loss %,Release Year2
13,23064,"Beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades",Broiled or Grilled,77,10,2.262,74.49,81.65,-22.39,-0.03,2004
13,13893,"Beef, round, top round steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,72,20,5.324,62,83,-28.42,-1.8,2000
13,13910,"Beef, short loin, top loin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,82,1,n/a,n/a,n/a,-19.7,-2.77,2013
13,23131,"Beef, shoulder pot roast, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Braised,66.28,71,6.13,54.6,80.9,-37.26,0.3,2010
13,23554,"Beef, shoulder steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,77.72357724,72,4.41,69.8,88.9,-28.36,-0.27,2010
13,13598,"Beef, shoulder top blade steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades",Grilled,73,34,5.65,69,89.9,-34.14,-0.4,2010
13,13918,"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,80,19,3.91,71,86,-21.25,-5.85,2000
13,13930,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, all grades",Broiled or Grilled,80,20,4.871,69,87,-25.16,-2.73,2000
13,13320,"Beef, variety meats and by-products, brain","Poached, Simmered or Stewed",85,1,n/a,n/a,n/a,-12.76,-1.36,2003
13,13322,"Beef, variety meats and by-products, heart","Poached, Simmered or Stewed",57,1,n/a,n/a,n/a,-40,-1.27,2003
13,13324,"Beef, variety meats and by-products, kidneys","Poached, Simmered or Stewed",53,1,n/a,n/a,n/a,-42.69,-0.64,2003
13,13326,"Beef, variety meats and by-products, liver",Braised,68,1,n/a,n/a,n/a,-30.6,-0.04,2003
13,13327,"Beef, variety meats and by-products, liver",Pan-fried or Sauteed ,73,1,n/a,n/a,n/a,-25.71,-0.23,2003
13,23640,"Beef, variety meats and by-products, tripe","Poached, Simmered or Stewed",70,1,n/a,n/a,n/a,-27.25,-0.87,2003
5,5051,"Chicken, broiler-fryer, back, full, meat and skin","Baked or Roasted, unspecified",61,,n/a,49,71,,,1975
5,5052,"Chicken, broiler-fryer, back, full, meat and skin","Poached, Simmered or Stewed",67,,n/a,58,79,,,1975
5,5060,"Chicken, broiler-fryer, breast, meat and skin","Baked or Roasted, unspecified",72,,n/a,61,82,,,1975
5,5061,"Chicken, broiler-fryer, breast, meat and skin","Poached, Simmered or Stewed",77,,n/a,70,88,,,1975
5,5069,"Chicken, broiler-fryer, drumstick, meat and skin","Baked or Roasted, unspecified",76,,n/a,63,87,,,1975
5,5087,"Chicken, broiler-fryer, neck, meat and skin","Poached, Simmered or Stewed",70,,n/a,62,81,,,1975
5,5094,"Chicken, broiler-fryer, thigh, meat and skin","Baked or Roasted, unspecified",69,,n/a,58,79,,,1975
5,5095,"Chicken, broiler-fryer, thigh, meat and skin","Poached, Simmered or Stewed",74,,n/a,67,82,,,1975
5,5004,"Chicken, broiler-fryer, whole, including skin","Baked or Roasted, specified time",78,,n/a,68,84,,,1975
5,5010,"Chicken, broiler-fryer, whole, including skin","Poached, Simmered or Stewed",75,,n/a,69,87,,,1975
5,5104,"Chicken, broiler-fryer, wing, meat and skin","Poached, Simmered or Stewed",86,,n/a,74,96,,,1975
5,5102,"Chicken, broiler-fryer, wing, meat and skin, floured",Fried in deep fat,66,,n/a,53,78,,,1975
5,5676,"Chicken, broilers or fryers, drumstick, meat and skin",Braised,77,1,n/a,n/a,n/a,-9.71,-0.21,2011
5,5677,"Chicken, broilers or fryers, thigh, meat and skin",Braised,68,1,n/a,n/a,n/a,-9.67,-2.44,2011
5,5103,"Chicken, broilers or fryers, wing, meat and skin",Roasted,78,1,n/a,n/a,n/a,2.45,3.55,2013
5,5687,"Chicken, drumstick, meat and skin, enhanced",Braised,74,1,n/a,n/a,n/a,-9.79,0.32,2013
5,5689,"Chicken, dark meat, drumstick, meat and skin, enhanced",Roasted,80,1,n/a,n/a,n/a,-7.58,-0.12,2013
5,5690,"Chicken, thigh, meat and skin, enhanced",Braised,72,1,n/a,n/a,n/a,-3.38,-0.23,2013
5,5692,"Chicken, thigh, meat and skin, enhanced",Roasted,67,1,n/a,n/a,n/a,-10.28,-2.17,2013
5,5024,"Chicken, gizzard, all classes","Poached, Simmered or Stewed",55,1,n/a,n/a,n/a,-41.91,-0.59,2003
5,5661,"Chicken, liver, all classes",Pan-fried or Sauteed,62,4,1.247,61.14,63.83,-35.78,-0.83,2003
17,5622,"Emu, ground",Broiled or Grilled,80,6,6.757,70.79,85.67,-20.23,-0.2,2001
17,17331,"Game meat, bison, ground",Broiled or Grilled,77,6,1.251,75.56,78.86,-18.15,-4.21,2001
17,17344,"Game meat, deer, ground",Broiled or Grilled,83,3,1.878,81.22,84.87,-17.71,-0.05,2001
17,17339,"Game meat, elk, ground",Broiled or Grilled,84,5,3.651,80.05,88.91,-15,-1.5,2001
17,,"Lamb, retail cuts, roasts, all samples","Baked or Roasted, unspecified",74,,n/a,53,88,,,1975
17,,"Lamb, retail cuts, shoulder, shank, breast, flank",Braised,60,,n/a,54,72,,,1975
17,,"Lamb, retail cuts, shoulder, shank, breast, flank","Poached, Simmered or Stewed",60,,n/a,54,72,,,1975
17,5642,"Ostrich, ground",Broiled or grilled,86,6,2.5,81,88,-13.5,-2.7,2001
10,10193,"Pork loin, fresh, backribs, bone-in, separable lean and fat ","Baked or Roasted, unspecified",82,12,4.09,74,90,-18.5,1.3,2011
7,7064,"Pork sausage, fresh",Pan-fried,80,1,n/a,n/a,n/a,-16.5,-2.9,2012
10,10860,"Pork, cured, bacon","Baked or Roasted, unspecified",32,3,0.784,30.53,32.57,-35.53,-32.37,2003
10,10861,"Pork, cured, bacon",Microwaved,29,3,0.688,28.89,30.13,-34.75,-35.45,2003
10,10862,"Pork, cured, bacon",Pan-fried  ,32,1,n/a,n/a,n/a,-36.8,-28.6,2012
10,10865,"Pork, cured, ham -- water added, rump, bone-in","Baked or Roasted, unspecified",87,5,5.306,79.93,91.81,-14.88,-0.37,2009
10,10877,"Pork, cured, ham and water product, rump, bone-in","Baked or Roasted, unspecified",85,5,3.643,79.95,89.74,-15.4,0.54,2009
10,10881,"Pork, cured, ham and water product, shank, bone-in","Baked or Roasted, unspecified",82,6,6.216,73.51,91.98,-17.07,-0.54,2009
10,10869,"Pork, cured, ham and water product, slice, bone-in",Pan-broiled,81,5,4.531,75.89,86.73,-18.71,-0.86,2009
10,10871,"Pork, cured, ham and water product, whole, boneless","Baked or Roasted, unspecified",96,4,2.371,92.73,97.98,-3.68,0.42,2009
10,10873,"Pork, cured, ham with natural juices, rump, bone-in","Baked or Roasted, unspecified",87,7,4.912,81.11,96.81,-11.35,0.2,2009
10,10874,"Pork, cured, ham with natural juices, shank, bone-in","Baked or Roasted, unspecified",93,7,3.23,88.43,98.26,-8.46,1.28,2009
10,10875,"Pork, cured, ham with natural juices, slice, bone-in",Pan-broiled,86,2,0.412,85.78,86.36,-13.6,0.9,2009
10,10876,"Pork, cured, ham with natural juices, spiral slice","Baked or Roasted, unspecified",87,3,7.557,78.65,93,-11.8,0.01,2009
10,10883,"Pork, cured, ham with natural juices, whole, boneless","Baked or Roasted, unspecified",94,9,1.64,91.22,95.54,-6.11,-0.33,2009
10,10931,"Pork, cured, ham, rump, bone-in","Baked or Roasted, unspecified",90,3,1.287,88.85,91.39,-8.65,-0.2,2009
10,10933,"Pork, cured, ham, shank, bone-in","Baked or Roasted, unspecified",92,3,1.595,90.25,93.35,-8,0.18,2009
10,10899,"Pork, cured, ham, slice, bone-in",Pan-broiled,86,3,2.596,83.13,88.15,-13.75,-0.07,2009
10,10867,"Pork, cured, ham--water added, shank, bone-in","Baked or Roasted, unspecified",86,6,6.117,75.81,92.68,-16.39,1.87,2009
10,10868,"Pork, cured, ham--water added, slice, bone-in",Pan-broiled,80,7,5.937,76.21,90.93,-21.6,1.26,2009
10,10879,"Pork, cured, ham--water added, whole, boneless","Baked or Roasted, unspecified",94,10,4.3,83.12,97.84,-5.94,0.25,2009
10,10988,"Pork, fresh, blade, (chops), boneless, separable lean and fat ",Broiled or Grilled,85,12,3.12,78,90,-23.3,0.3,2011
